Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-31,76.8,77.2,75.6,76.15,9764000,0,0
2020-04-01,76.5,76.65,75.85,75.9,9948017,0,0
2020-04-06,76.95,77.1,75.75,77.05,12207626,0,0
2020-04-07,78.5,78.9,78.05,78.5,15302038,0,0
2020-04-08,78.5,79.7,78.35,79.6,15230698,0,0
2020-04-09,79.85,80.1,78.85,79.25,15650105,0,0
2020-04-10,79.0,79.35,78.7,79.3,5824779,0,0
2020-04-13,79.0,79.4,78.55,78.8,7430914,0,0
2020-04-14,79.05,80.95,79.05,80.95,13121792,0,0
2020-04-15,81.25,81.5,81.0,81.2,17361116,0,0
2020-04-16,80.2,81.1,80.05,80.8,12409525,0,0
2020-04-17,83.0,84.0,82.7,83.25,34532038,0,0
2020-04-20,83.25,83.5,82.8,83.0,12336416,0,0
2020-04-21,82.65,82.65,80.5,80.6,21082454,0,0
2020-04-22,80.0,80.6,79.5,80.6,10896151,0,0
2020-04-23,81.15,82.0,80.3,80.9,13298948,0,0
2020-04-24,80.8,81.0,80.45,80.9,5764752,0,0
2020-04-27,82.15,82.6,81.65,82.55,13917724,0,0
2020-04-28,82.9,82.9,82.0,82.55,7556661,0,0
2020-04-29,83.05,83.9,82.95,83.7,11874079,0,0
2020-04-30,84.45,85.5,84.4,85.5,18785156,0,0
2020-05-04,82.4,83.3,82.2,83.0,15648380,0,0
2020-05-05,83.5,83.8,83.0,83.4,7810636,0,0
2020-05-06,83.3,83.75,82.6,83.5,6142593,0,0
2020-05-07,83.5,84.15,83.3,83.85,6140995,0,0
2020-05-08,84.6,84.75,84.0,84.35,6034013,0,0
2020-05-11,85.0,85.4,84.7,85.05,6655422,0,0
2020-05-12,84.6,84.6,83.65,84.05,11549365,0,0
2020-05-13,83.7,84.4,83.6,84.3,4967165,0,0
2020-05-14,83.8,83.85,83.2,83.3,8743268,0,0
2020-05-15,84.05,84.25,83.05,83.85,6190781,0,0
2020-05-18,83.05,83.45,82.8,83.15,8271703,0,0
2020-05-19,84.4,84.5,83.65,83.9,5477775,0,0
2020-05-20,84.0,84.2,83.5,83.8,9894141,0,0
2020-05-21,84.15,84.8,84.1,84.5,7568047,0,0
2020-05-22,83.8,83.9,82.9,82.95,13354146,0,0
2020-05-25,83.15,83.5,82.15,83.5,5250544,0,0
2020-05-26,84.25,84.65,83.85,84.45,15454949,0,0
2020-05-27,84.7,84.85,84.05,84.35,4589767,0,0
2020-05-28,84.9,84.9,83.55,83.85,7476909,0,0
2020-05-29,83.4,84.45,83.0,84.45,5320690,0,0
2020-06-01,84.45,85.15,84.4,84.9,8365321,0,0
2020-06-02,85.0,85.5,85.0,85.3,11947060,0,0
2020-06-03,86.15,86.9,86.1,86.8,18117244,0,0
2020-06-04,87.5,87.75,87.15,87.6,15036553,0,0
2020-06-05,87.7,88.35,87.7,88.35,9916582,0,0
2020-06-08,88.9,89.8,88.8,89.5,15549542,0,0
2020-06-09,89.6,89.8,88.95,89.6,11356579,0,0
2020-06-10,89.65,90.7,89.55,90.45,10998897,0,0
2020-06-11,90.45,90.85,89.0,89.05,14179192,0,0
2020-06-12,87.25,88.5,87.1,88.25,21563371,0,0
2020-06-15,88.1,88.3,86.9,87.0,9573700,0,0
2020-06-16,88.15,89.2,88.15,88.9,10841047,0,0
2020-06-17,89.2,89.2,88.3,89.0,11510236,0,0
2020-06-18,89.05,89.3,88.35,88.9,5035751,0,0
2020-06-19,89.0,89.15,88.65,88.85,2333985,0,0
2020-06-22,88.85,89.7,88.85,89.05,10579456,0,0
2020-06-23,89.6,90.05,88.8,89.45,8664889,0,0
2020-06-24,89.8,90.5,89.8,90.0,10061904,0,0
2020-06-29,89.25,89.6,88.65,89.1,9724000,0,0
